 2018rank,City,State[c],2018estimate,2010Census,Change,2016  land  area,2016  population  density,Location , wiki_link,County,Settled,Incorporated,Type,Mayor,City,Land,Water,Elevation,Time  zone,Summer  (DST),Website,ZIP  Codes,Area  codes,Density 
 1,New  York  City[d],New  York,8398748,8175133,+2.74%,301.5sqmi;780.9km2,28317/sqmi;10933/km2,403949N  735619W  /  40.6635N  73.9387W  /  40.6635;  -73.9387  (1  New  York  City) ,https://en.wikipedia.org/wiki/New_York_City,,1624,,MayorCouncil, Bill  de  Blasio  (D) ,, 302.643sqmi  (783.84km2) , 165.841sqmi  (429.53km2) ,, UTC05:00  (EST) , UTC04:00  (EDT) ,NYC.gov, 100xx104xx  1100405  111xx114xx  116xx ,, 27751/sqmi  (10715/km2) 
 2,Los  Angeles,California,3990456,3792621,+5.22%,468.7sqmi;1213.9km2,8484/sqmi;3276/km2,340110N  1182439W  /  34.0194N  118.4108W  /  34.0194;  -118.4108  (2  Los  Angeles) ,https://en.wikipedia.org/wiki/Los_Angeles, Los  Angeles ,, April  4  1850[4] ,Mayor-Council-Commission[5], Eric  Garcetti  (D)[6] ,, 468.74sqmi  (1214.03km2) , 34.02sqmi  (88.12km2)  6.7% ,, UTC08:00  (Pacific) , UTC07:00  (PDT) , Official  website , List  9000190084  9008690089  90091  9009390097  90099  9010190103  90174  90185  90189  9029190293  9104091043  9130391308  91311  91316  9132491328  91330  91331  91335  91340  9134291349  9135291353  9135691357  9136491367  9140191499  9150491505  9160191609[15] , 213/323  310/424  747/818 , 8483.02/sqmi  (3275.32/km2) 
 3,Chicago,Illinois,2705994,2695598,+0.39%,227.3sqmi;588.7km2,11900/sqmi;4600/km2,415015N  874054W  /  41.8376N  87.6818W  /  41.8376;  -87.6818  (3  Chicago) ,https://en.wikipedia.org/wiki/Chicago,, circa  1780 ,,Mayorcouncil, Lori  Lightfoot  (D) , 234.14sqmi  (606km2)2695598 , 227.34sqmi  (588km2) , 6.80sqmi  (17.62km2)  3.0% ,, UTC06:00  (Central) , UTC05:00  (Central) ,www.cityofchicago.org,, 312/872  and  773/872 , 11898/sqmi  (4593.95/km2) 
 4,Houston[3],Texas,2325502,2100263,+10.72%,637.5sqmi;1651.1km2,3613/sqmi;1395/km2,294712N  952327W  /  29.7866N  95.3909W  /  29.7866;  -95.3909  (4  Houston) ,https://en.wikipedia.org/wiki/Houston,,, June  5  1837 ,Mayorcouncil, Sylvester  Turner  (D) , 637.4sqmi  (1623.92km2)2099451 , 599.59sqmi  (1552.9km2) ,, 80ft  (32m) , UTC6  (CST) , UTC5  (CDT) ,houstontx.gov, 770xx  772xx  (P.O.  Boxes) , 713  281  832  346 , 3660/sqmi  (1414/km2) 
 5,Phoenix,Arizona,1660272,1445632,+14.85%,517.6sqmi;1340.6km2,3120/sqmi;1200/km2,333420N  1120524W  /  33.5722N  112.0901W  /  33.5722;  -112.0901  (6  Phoenix) ,https://en.wikipedia.org/wiki/Phoenix_Arizona,Maricopa,1867, February  25  1881 ,Council-Manager, Kate  Gallego ,, 517.64sqmi  (1340.69km2) , 1.25sqmi  (3.25km2) ,, UTC7  (MST  (no  DST)) ,,www.phoenix.gov,, East:  480  Central:  602  West:  623 , 3119.94/sqmi  (1204.61/km2) 
 6,Philadelphia[e],Pennsylvania,1584138,1526006,+3.81%,134.2sqmi;347.6km2,11683/sqmi;4511/km2,400034N  750800W  /  40.0094N  75.1333W  /  40.0094;  -75.1333  (5  Philadelphia) ,https://en.wikipedia.org/wiki/Philadelphia,Philadelphia,, October  25  1701 , Mayorcouncil  consolidated  city-county , Jim  Kenney  (D) ,, 134.28sqmi  (347.78km2) , 8.42sqmi  (21.81km2) , 39ft  (12m) , UTC-5  (EST) , UTC-4  (EDT) ,www.phila.gov,, 215  267  445 , 11797.27/sqmi  (4554.95/km2) 
 7,San  Antonio,Texas,1532233,1327407,+15.43%,461.0sqmi;1194.0km2,3238/sqmi;1250/km2,292821N  983130W  /  29.4724N  98.5251W  /  29.4724;  -98.5251  (7  San  Antonio) ,https://en.wikipedia.org/wiki/San_Antonio,,, June  5  1837[7] ,Council-Manager, Ron  Nirenberg  (I) , 465.4sqmi  (1205.4km2)1511946[5]  (7th) , 460.93[8]sqmi  (1193.7km2) , 4.5sqmi  (11.7km2) , 650ft  (198m) , UTC6  (CST) , UTC5  (CDT) ,www.SanAntonio.gov,, 210  (majority)  830  (portions)  726 , 3241.76/sqmi  (1238.2/km2) 
 8,San  Diego,California,1425976,1307402,+9.07%,325.2sqmi;842.3km2,4325/sqmi;1670/km2,324855N  1170806W  /  32.8153N  117.1350W  /  32.8153;  -117.1350  (8  San  Diego) ,https://en.wikipedia.org/wiki/San_Diego, San  Diego ,, March  27  1850[1] , Strong  mayor[2] , Kevin  Faulconer  (R)[3] ,, 325.19sqmi  (842.25km2) , 47.20sqmi  (122.24km2)  12.68% ,, UTC8  (Pacific) , UTC7  (PDT) ,SanDiego.gov,, 619  858 , 4325.50/sqmi  (1670.08/km2) 
 9,Dallas,Texas,1345047,1197816,+12.29%,340.9sqmi;882.9km2,3866/sqmi;1493/km2,324736N  964559W  /  32.7933N  96.7665W  /  32.7933;  -96.7665  (9  Dallas) ,https://en.wikipedia.org/wiki/Dallas,,, February  2  1856 ,CouncilManager, Mike  Rawlings  (D) , 385.8sqmi  (999.3km2)1197816 , 340.5sqmi  (881.9km2) , 45.3sqmi  (117.4km2) , 430ft  (131m) , UTC6  (Central) , UTC5  (Central) ,dallascityhall.com, ZIP  Codes[3] , 214  469  972  682  817[4][5] , 3876/sqmi  (1497/km2) 
 10,San  Jose,California,1030119,945942,+8.90%,177.5sqmi;459.7km2,5777/sqmi;2231/km2,371748N  1214908W  /  37.2967N  121.8189W  /  37.2967;  -121.8189  (10  San  Jose) ,https://en.wikipedia.org/wiki/San_Jose_California, Santa  Clara ,, March  27  1850[1] ,Councilmanager[2], Sam  Liccardo[3]  (D) , 180.52sqmi  (467.55km2)945942 , 177.51sqmi  (459.75km2) , 3.01sqmi  (7.80km2)  1.91% ,, UTC8  (Pacific  Time  Zone) , UTC7  (Pacific  Daylight  Time) ,www.sanjoseca.gov,,, 5776.3/sqmi  (2230.24/km2) 
